0.0,2.68,傳說中 台中的豪宅裡面的公社
2.68,4.12,哇塞 幽翁石呢
4.12,5.24,真的是超級漂亮
5.24,6.28,那電梯有裝潢
6.28,8.4,這邊是牛皮的風布
8.4,11.200000000000001,這一戶整個很像精緻的五星級飯店
11.200000000000001,13.92,寬透式的三面盆
13.92,16.080000000000002,捨滑 食彈威剛琴
16.080000000000002,18.080000000000002,你家對面是美術館
18.080000000000002,19.72,家裡也是美術館的感覺
19.72,22.52,秀剛做一個鏡面的天花板
22.52,25.32,空間 大到他有自己的小客廳
25.32,26.52,哇 真的是
27.16,28.240000000000002,好人性啊
30.0,36.6,大家好 我是Jermaine Huan
36.6,39.0,說看今天的舊式要看房
39.0,40.4,今天要看的房子
40.4,42.24,我個人非常的開心
42.24,44.84,是又來到台中來看豪宅
44.84,46.96,我們要看的這個案子是有巨大痕
46.96,49.56,這個我覺得台中人應該都知道這個健暗
49.56,50.96,非常的神秘
50.96,52.879999999999995,從來沒有YouTuber拍過
52.879999999999995,54.56,而且這一次除了會拍到其中的
54.56,56.08,一戶之外的重點是
56.08,57.36,他們公社也給我們拍
57.36,60.04,因為在之前我們拍台中的豪宅
60.04,61.56,常常是公社是不能拍的
61.56,63.24,這一次可以拍到他們公社
63.24,65.76,我覺得算是一個很稀有的機會
65.76,66.76,帶大家看一下說
66.76,69.6,傳說中台中的豪宅裡面的公社
69.6,71.48,大概它的氛圍是怎麼樣
71.48,74.24,可以看到我現在站的地方就是他們的大廳
74.24,76.56,然後後面你看就是這種造景
76.56,78.44,那他整個室內設計師
78.44,79.96000000000001,有一個非常知名的設計師
79.96000000000001,81.32,叫做陳瑞憲設計的
81.32,85.12,然後他增長了兩個藝術家的作品
85.12,87.80000000000001,像我背後的這個是核全證明
87.80000000000001,90.72,然後待會大家可能在一些狼道
90.72,92.64,或是在一些公社空間
92.64,93.92,會看到一些畫作
93.92,97.16000000000001,是阿根廷的作家後悶的作品
97.16000000000001,101.08000000000001,台中的豪宅很喜歡把公社弄得跟國務館一樣
101.08000000000001,102.36000000000001,然後以郵寄大痕來說
102.36000000000001,103.2,因為它的位置
103.2,106.2,就在國美館的正對面台中的吸缺
106.2,108.44,所以你家對面是美術館
108.44,110.36000000000001,然後家裡也是美術館的感覺
110.36000000000001,112.88000000000001,就會覺得說很有人文氣息
112.88000000000001,114.28,回到家就好像
114.28,115.48,回到國務館
115.48,117.76,所以親戚當然是很分析很棒
117.76,119.52,但吸缺有吸缺的優點
119.52,121.88,就是他整個機能發展得非常完整
121.88,123.32000000000001,如果是北部人的話
123.32000000000001,126.48,就大概類似台北的大安區的概念
126.48,127.6,所以很多歐盟領
127.6,129.6,很多老錢就是住在這一區
129.6,132.68,附近有很多很棒的餐廳
132.68,133.72,不管是小吃也好
133.72,134.36,餐廳也好
134.36,136.0,其實吸缺也是很繁榮
136.0,137.08,也歡迎台中人補充
137.08,138.2,因為畢竟我不是台中人
138.2,139.04,那我剛剛一進來
139.04,140.24,就看到說挖塞
140.24,141.08,真的是很美
141.08,143.32,就算你不認識這些藝術家
