0.0,1.8,秘書一定會隨身轉彎
1.8,3.44,我是一個懷毀到料理時
3.44,5.64,在這系列裡會帶大家回到過去
5.64,6.32,讓大家看看
6.32,8.040000000000001,古代人是吃什麼長大的
8.040000000000001,8.96,這一次是
8.96,12.24,魔法舞台
12.24,13.6,美國聯邦監獄
13.6,14.8,沒有錯這次的料理時
14.8,15.72,比較特別一點
15.72,17.400000000000002,因為過去都是以朝代為主
17.400000000000002,18.76,但我前正在讀書的時候
18.76,19.44,意外發現
19.44,20.72,很久以前的美國監獄
20.72,21.76,吃的好有趣
21.76,23.0,更是西方孔子
23.0,24.28,為什麼是西方孔子
24.28,25.84,因為孔子會進才實教
25.84,27.2,不過雖然花是這樣說
27.2,28.88,還是希望大家看完這幾週
28.88,29.6,不要犯法
29.6,31.32,我們是正派經驗的團體
31.32,32.6,只是本次的計畫
32.6,34.2,開始
34.2,35.4,在開始今天的監獄料理時
35.4,37.0,之前我現在先進行點
37.0,39.2,背景補充方面大家快速了解
39.2,40.400000000000006,這次我選的時期是
40.400000000000006,41.6,1934年
41.6,43.800000000000004,當時德國和波蘭剛簽訂了10年
43.800000000000004,45.2,戶不清範條約
45.2,47.0,然後每多久那個條約會撕毀了
47.0,48.2,今天的監獄料理時
48.2,49.8,地點是美國惡魔島
49.8,51.400000000000006,監獄挖跟剛的德國波蘭
51.400000000000006,52.6,一點關係都沒有
52.6,53.6,根據官方說法
53.6,54.6,惡魔島監獄
54.6,56.2,從來沒有求範成功越遇過
56.2,57.2,就算跟人跑出去
57.2,59.6,下場是解釋中人街找不到
59.6,61.800000000000004,我思考很久覺得原因只有一個
61.800000000000004,62.6,那就是因為惡魔島
62.6,63.760000000000005,監獄四面狠狠
63.760000000000005,64.8,那如果他要跑出去
64.8,66.0,一定會碰到海嗎
66.0,67.0,那海裡面有什麼
67.0,68.2,充浪沙雨
68.2,70.0,充浪沙雨太好玩了
70.0,71.8,他們玩得不易樂服
71.8,73.6,因為監獄裡面什麼都沒有
73.6,75.4,但是充浪沙雨只要一個按鈕
75.4,76.80000000000001,就可以帶你到世界各地
76.80000000000001,78.2,而且預預都是團體行動
78.2,79.2,馬電都有野
79.2,80.80000000000001,這三個人是1962年
80.80000000000001,81.60000000000001,一起越遇的
81.60000000000001,83.60000000000001,他們可以使用同一個充浪沙雨正好
83.60000000000001,84.4,不會吵架
84.4,85.60000000000001,在不同的裝置上
85.60000000000001,86.80000000000001,也可以同時使用
86.8,88.39999999999999,這架上二魔島監獄上面
88.39999999999999,89.8,只有一個壓一整索
89.8,91.0,居然如果壓一個很說
91.0,92.6,那壓紙用五種
92.6,94.0,籌費也只能吞下去嗎
94.0,95.39999999999999,不過當你了充浪沙雨
95.39999999999999,96.8,就可以進行多方秉價
